2019,Institution_Name,Country,Classification,,,,,Academic_Reputation,Academic_Reputation_Rank,Employer_Reputation,Employer_Reputation_Rank,Faculty_Student,Faculty_Student_Rank,Citations_per_Faculty,Citations_per_Faculty_Rank,International_Faculty,International_Faculty_Rank,International_Students,International_Students_Rank,Overall_Score,Continent
113,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM),Mexico,XL,FC,VH,5,A,89.3,41,87.1,53,50.8,302,4,601+,20.4,530,3.9,601+,56.8,North America
114,THE UNIVERSITY OF ADELAIDE,Australia,L,FC,VH,5,A,56.8,125,46.7,185,31.1,492,65.2,126,97,112,99,40,56.6,Oceania
115,UNIVERSITY OF SOUTHERN CALIFORNIA,United States,XL,FC,VH,5,B,57,123,51.4,162,40.4,380,66.9,116,45.5,349,87.1,118,56.2,North America
116,"KIT, KARLSRUHER INSTITUT FÜR TECHNOLOGIE",Germany,L,CO,VH,4,A,46,167,92.4,44,38.3,400,71,94,61.6,281,63.3,227,55.9,Europe
117,UPPSALA UNIVERSITY,Sweden,L,FC,VH,5,A,63.3,101,37.1,250,47.3,325,58.9,169,62.2,278,45.3,311,55.8,Europe
118,UNIVERSIDADE DE SÃO PAULO (USP),Brazil,XL,FC,VH,4,A,87.2,49,80.4,73,28.2,527,30.7,419,9.6,601+,4.3,601+,55.5,South America
119,QUEEN MARY UNIVERSITY OF LONDON (QMUL),United Kingdom,L,FC,VH,5,A,50,149,42.4,215,48.2,316,57.5,179,97.2,108,99.5,32,55.4,Europe
120,UNIVERSITY OF GRONINGEN,Netherlands,L,FC,VH,5,A,47.7,158,30.3,322,62.7,235,53.6,201,93.6,137,99.4,35,55.2,Europe
121,HUMBOLDT-UNIVERSITÄT ZU BERLIN,Germany,XL,FC,HI,5,A,86.9,50,57.8,134,13.6,601+,33.9,374,60.7,285,36.9,372,55.1,Europe
122,NANJING UNIVERSITY,China,XL,FC,VH,5,A,58.5,119,41.2,223,26.2,550,87.8,45,75.3,224,16.3,572,55,Asia
122,LEIDEN UNIVERSITY,Netherlands,L,FC,VH,5,A,65.1,96,29.1,336,33.6,455,65.4,125,78.5,213,43.3,325,55,Europe
124,UTRECHT UNIVERSITY,Netherlands,XL,FC,VH,5,A,59.8,113,37.7,243,46.4,333,69.3,104,46.1,345,25.1,468,54.5,Europe
125,WAGENINGEN UNIVERSITY,Netherlands,L,FO,VH,5,A,37.3,211,18.1,494,95.8,56,60.6,151,38.4,392,86.6,122,54.4,Europe
126,KYUSHU UNIVERSITY,Japan,L,FC,VH,5,A,54.8,133,56.6,138,89.8,88,32.4,401,17.7,567,21.5,504,54.1,Asia
126,"UNIVERSITY OF MARYLAND, COLLEGE PARK",United States,XL,FC,VH,5,A,54.8,134,29.1,335,52.5,290,78,67,30.6,447,29,441,54.1,North America
128,HOKKAIDO UNIVERSITY,Japan,L,FC,VH,5,A,55.5,131,54.6,148,87.2,107,33.3,382,19.5,541,14.6,601+,53.6,Asia
128,CHALMERS UNIVERSITY OF TECHNOLOGY,Sweden,M,CO,VH,5,B,28.8,290,67.3,105,69.4,201,69,106,94,135,56.1,257,53.6,Europe
130,FREIE UNIVERSITÄT BERLIN,Germany,XL,FC,HI,4,A,78.4,66,49.1,171,6.8,601+,49.6,237,64,271,50.5,289,53.4,Europe
131,LANCASTER UNIVERSITY,United Kingdom,L,FC,HI,4,A,38.8,197,32.8,290,51.6,297,70.4,98,95.4,126,98.1,51,53,Europe
132,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA (UCSB)",United States,L,CO,VH,5,A,64.6,98,16.7,501+,13,601+,95.5,23,50.6,326,20.8,508,52.9,North America
132,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,Chile,L,FC,HI,5,B,83,59,93.4,37,32.6,470,12.1,601+,20,537,5.1,601+,52.9,South America
134,UNIVERSITY OF YORK,United Kingdom,L,FC,VH,4,A,42.9,182,44.2,203,57.9,269,55.6,192,92,152,68.2,200,52.4,Europe
135,UNIVERSITY OF OSLO,Norway,L,FC,VH,5,A,49.2,151,26.1,373,69.9,198,47.8,253,82.6,199,36.5,375,51.9,Europe
136,UNIVERSITY OF PITTSBURGH,United States,L,FC,VH,5,A,44.5,176,20.5,455,98.7,45,47.5,257,29.5,454,22.6,490,51.8,North America
137,CENTRALESUPÉLEC,France,S,FO,VH,1,A,17.4,473,100,6,87.7,101,43.1,298,74.3,227,90.6,102,51.5,Europe
138,UNIVERSITY OF GHENT,Belgium,XL,FC,VH,5,A,48.9,152,33,287,83.2,125,37.3,346,62.8,274,20.3,521,51.3,Europe
139,UNIVERSITY OF BERN,Switzerland,M,CO,VH,5,A,28.8,288,34.6,277,54.7,285,88.1,43,100,43,48.3,298,51.1,Europe
140,AALTO UNIVERSITY,Finland,M,FO,VH,1,A,36.4,216,48.2,178,56.6,276,68.6,108,85.4,188,39.4,352,50.8,Europe
141,AARHUS UNIVERSITY,Denmark,L,FC,VH,4,A,49.6,150,48.6,175,51.5,298,50.7,228,85,189,23.7,478,50.7,Europe
141,NEWCASTLE UNIVERSITY,United Kingdom,L,FC,VH,4,A,38.8,196,62.2,119,62.2,237,39.1,334,93,146,79.1,153,50.7,Europe
141,MICHIGAN STATE UNIVERSITY,United States,XL,FC,VH,5,A,61.4,107,54.8,146,19.3,601+,56.3,187,65,263,42.7,329,50.7,North America
144,RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN,Germany,XL,FC,VH,5,A,56.4,126,97.7,22,21.8,601+,42.1,308,39.2,384,64.9,221,50.4,Europe
145,CARDIFF UNIVERSITY,United Kingdom,L,FC,VH,5,A,47.5,159,44.7,199,56.3,277,39.3,332,72,241,79.8,147,50.3,Europe
146,MCMASTER UNIVERSITY,Canada,L,FC,VH,5,A,39.5,193,44.1,206,81,145,32.9,388,97.8,97,42,335,50.1,North America
147,TECHNISCHE UNIVERSITÄT BERLIN,Germany,L,CO,VH,5,A,52.3,140,80.2,74,45.6,337,34.8,364,35.2,416,60.3,240,49.9,Europe
148,EMORY UNIVERSITY,United States,L,FC,VH,5,B,27.2,310,12.3,501+,99.6,35,62,140,52.7,321,47.4,303,49.6,North America
149,UNIVERSITY OF LAUSANNE,Switzerland,L,CO,VH,5,A,33.4,244,20.9,451,82.3,133,44.2,287,99.5,65,72.7,175,49.5,Europe
149,UNIVERSIT?DE MONTRÉAL,Canada,XL,FC,VH,5,A,52.9,138,54.6,147,41.6,373,31.1,413,95.8,123,68,201,49.5,North America
151,HANYANG UNIVERSITY,South Korea,L,FC,VH,4,B,43.5,178,67.8,103,78.6,155,30.6,421,27.6,470,37.3,370,49.4,Asia
151,UNIVERSITY OF LIVERPOOL,United Kingdom,L,FC,VH,5,A,40,191,37.6,244,72.3,186,31.3,411,81.1,206,94.6,83,49.4,Europe
153,ÉCOLE NORMALE SUPÉRIEURE DE LYON,France,S,CO,VH,5,A,37.5,208,11.7,501+,99.3,39,40.8,319,71,245,26.3,459,49.2,Europe
154,HEBREW UNIVERSITY OF JERUSALEM,Israel,L,FC,VH,5,A,40.1,189,31.9,295,81.8,139,46.8,270,67.1,255,13.8,601+,49.1,Asia
154,UNIVERSITY OF EXETER,United Kingdom,L,FC,VH,4,A,36.5,215,65.1,109,36.4,418,58.8,170,92.9,147,83.3,133,49.1,Europe
156,POLITECNICO DI MILANO,Italy,XL,FO,VH,5,A,57.1,121,85.9,55,7.5,601+,55.8,190,45.8,347,44.3,320,48.7,Europe
